Date,Power_kW
01-09-2019 00:00,92.786
01-09-2019 01:00,95.523
01-09-2019 02:00,94.492
01-09-2019 03:00,95.661
01-09-2019 04:00,95.922
01-09-2019 05:00,93.947
01-09-2019 06:00,98.421
01-09-2019 07:00,93.798
01-09-2019 08:00,97.493
01-09-2019 09:00,90.08
01-09-2019 10:00,96.884
01-09-2019 11:00,100.372
01-09-2019 12:00,96.033
01-09-2019 13:00,99.333
01-09-2019 14:00,95.561
01-09-2019 15:00,98.777
01-09-2019 16:00,96.83
01-09-2019 17:00,97.428
01-09-2019 18:00,100.579
01-09-2019 19:00,95.166
01-09-2019 20:00,98.467
01-09-2019 21:00,94.335
01-09-2019 22:00,94.365
01-09-2019 23:00,96.01
01-10-2019 00:00,117.733
01-10-2019 01:00,108.075
01-10-2019 02:00,112.416
01-10-2019 03:00,106.732
01-10-2019 04:00,111.404
01-10-2019 05:00,109.771
01-10-2019 06:00,128.371
01-10-2019 07:00,411.236
01-10-2019 08:00,362.104
01-10-2019 09:00,390.479
01-10-2019 10:00,453.085
01-10-2019 11:00,477.216
01-10-2019 12:00,488.286
01-10-2019 13:00,504.785
01-10-2019 14:00,552.529
01-10-2019 15:00,515.127
01-10-2019 16:00,557.823
01-10-2019 17:00,528.095
01-10-2019 18:00,455.599
01-10-2019 19:00,233.274
01-10-2019 20:00,148.676
01-10-2019 21:00,123.322
01-10-2019 22:00,109.196
01-10-2019 23:00,109.2
01-11-2019 00:00,107.932
01-11-2019 01:00,105.032
01-11-2019 02:00,105.237
01-11-2019 03:00,104.117
01-11-2019 04:00,107.839
01-11-2019 05:00,104.101
01-11-2019 06:00,230.904
01-11-2019 07:00,203.026
01-11-2019 08:00,190.582
01-11-2019 09:00,173.741
01-11-2019 10:00,126.112
01-11-2019 11:00,130.169
01-11-2019 12:00,127.005
01-11-2019 13:00,128.443
01-11-2019 14:00,127.916
01-11-2019 15:00,131.264
01-11-2019 16:00,127.707
01-11-2019 17:00,132.147
01-11-2019 18:00,127.093
01-11-2019 19:00,116.256
01-11-2019 20:00,110.053
01-11-2019 21:00,105.455
01-11-2019 22:00,107.87
01-11-2019 23:00,103.211
01-12-2019 00:00,101.171
01-12-2019 01:00,100.991
01-12-2019 02:00,98.453
01-12-2019 03:00,98.938
01-12-2019 04:00,101.973
01-12-2019 05:00,97.535
01-12-2019 06:00,98.664
01-12-2019 07:00,104.107
01-12-2019 08:00,99.225
01-12-2019 09:00,97.973
01-12-2019 10:00,106.693
01-12-2019 11:00,100.643
01-12-2019 12:00,100.291
01-12-2019 13:00,104.048
01-12-2019 14:00,101.538
01-12-2019 15:00,100.185
01-12-2019 16:00,106.279
01-12-2019 17:00,98.598
01-12-2019 18:00,99.106
01-12-2019 19:00,100.145
01-12-2019 20:00,103.989
01-12-2019 21:00,97.191
01-12-2019 22:00,99.225
01-12-2019 23:00,100.029
13-01-2019 00:00,99.828
13-01-2019 01:00,97.938
13-01-2019 02:00,101.342
13-01-2019 03:00,99.13
13-01-2019 04:00,97.773
13-01-2019 05:00,99.421
13-01-2019 06:00,100.629
13-01-2019 07:00,100.085
13-01-2019 08:00,101.76
13-01-2019 09:00,105.083
13-01-2019 10:00,105.156
13-01-2019 11:00,107.537
13-01-2019 12:00,107.885
13-01-2019 13:00,109.373
13-01-2019 14:00,105.773
13-01-2019 15:00,104.773
13-01-2019 16:00,104.497
13-01-2019 17:00,111.094
13-01-2019 18:00,105.559
13-01-2019 19:00,105.263
13-01-2019 20:00,104.619
13-01-2019 21:00,109.852
13-01-2019 22:00,103.032
13-01-2019 23:00,100.617
14-01-2019 00:00,104.343
14-01-2019 01:00,101.641
14-01-2019 02:00,102.776
14-01-2019 03:00,100.119
14-01-2019 04:00,104.317
14-01-2019 05:00,102.756
14-01-2019 06:00,110.289
14-01-2019 07:00,159.908
14-01-2019 08:00,206.337
14-01-2019 09:00,234.132
14-01-2019 10:00,263.856
14-01-2019 11:00,325.615
14-01-2019 12:00,280.451
14-01-2019 13:00,295.991
14-01-2019 14:00,304.125
14-01-2019 15:00,308.112
14-01-2019 16:00,294.829
14-01-2019 17:00,269.25
14-01-2019 18:00,226.608
14-01-2019 19:00,174.723
14-01-2019 20:00,155.469
14-01-2019 21:00,126.818
14-01-2019 22:00,112.899
14-01-2019 23:00,111.876
15-01-2019 00:00,105.547
15-01-2019 01:00,103.665
15-01-2019 02:00,106.325
15-01-2019 03:00,103.032
15-01-2019 04:00,103.305
15-01-2019 05:00,108.016
15-01-2019 06:00,110.193
15-01-2019 07:00,152.996
15-01-2019 08:00,207.307
15-01-2019 09:00,233.902
15-01-2019 10:00,272.68
15-01-2019 11:00,350.217
15-01-2019 12:00,292.871
15-01-2019 13:00,317.3
15-01-2019 14:00,305.501
15-01-2019 15:00,310.32
15-01-2019 16:00,284.119
15-01-2019 17:00,277.714
15-01-2019 18:00,236.498
15-01-2019 19:00,180.431
15-01-2019 20:00,156.235
15-01-2019 21:00,126.025
15-01-2019 22:00,108.66
15-01-2019 23:00,107.575
